"total de dolares vendidos","promedio de dolares vendidos","ganancia total","ganacia promedio","gap promedio ","precio de compra promedio","precio de venta promedio","semana"
19166.42,2738.06,9768.59076599997,1395.5129665714244,0.5087142857142852,19.5705,20.079214285714286,2021-01-07 08:00:00
19234.17,2747.738571428571,9664.901610999996,1380.7002301428563,0.5024999999999997,19.61462857142857,20.117128571428573,2021-01-14 08:00:00
39208.979999999996,5601.282857142857,19659.24821899995,2808.4640312857073,0.4997857142857138,19.42117142857143,19.920957142857144,2021-01-21 08:00:00
32112.310000000005,4587.472857142858,16205.894400000006,2315.1277714285725,0.5068285714285713,19.706885714285715,20.213714285714286,2021-01-28 08:00:00
12335.62,1762.2314285714285,6363.790353000003,909.112907571429,0.5151285714285722,19.968614285714285,20.483742857142857,2021-02-04 11:00:00
40309.42,5758.488571428571,20403.748301000003,2914.821185857143,0.5050285714285714,19.77904285714286,20.28407142857143,2021-02-11 08:00:00
37635.99,5376.57,19069.175426,2724.167918,0.5091857142857142,19.7467,20.255885714285714,2021-02-18 08:00:00
34285.439999999995,4897.92,16281.052178999986,2325.864596999998,0.4810142857142853,20.225814285714286,20.70682857142857,2021-02-25 12:00:00
39452.39,5636.055714285714,19744.44325200001,2820.6347502857157,0.5063571428571427,20.51354285714286,21.0199,2021-03-04 09:00:00
20075.160000000003,2867.88,10744.775878000002,1534.9679825714288,0.5323428571428563,20.774914285714285,21.307257142857143,2021-03-11 08:00:00
25374.62,3624.945714285714,12474.468675999999,1782.0669537142853,0.49687142857142874,20.332885714285712,20.829757142857144,2021-03-18 10:00:00
19237.030000000002,2748.1471428571426,9624.015677000009,1374.8593824285729,0.500428571428572,20.29627142857143,20.7967,2021-03-25 10:00:00
19543.21,2791.887142857143,9758.702743999993,1394.100391999999,0.5001285714285706,20.242285714285714,20.742414285714286,2021-04-01 10:00:00
39147.89,5592.555714285714,19531.89016399999,2790.27002342857,0.5008714285714291,19.9912,20.49207142857143,2021-04-08 10:00:00
19664.56,2809.2228571428573,9360.206818000015,1337.1724025714307,0.4748285714285722,19.813585714285715,20.288414285714286,2021-04-15 09:00:00
35275.130000000005,5039.304285714286,16552.005930999963,2364.572275857138,0.471542857142857,19.640185714285717,20.11172857142857,2021-04-22 08:00:00
10446.22,1492.317142857143,4953.8127719999975,707.6875388571426,0.47297142857142915,19.64902857142857,20.122,2021-04-29 09:00:00
17378.78,2482.6828571428573,8281.527765000006,1183.075395000001,0.4756571428571433,19.889985714285714,20.365642857142856,2021-05-06 08:00:00
23219.079999999998,3317.0114285714285,10923.28402499999,1560.4691464285702,0.4693142857142857,19.685814285714287,20.155128571428573,2021-05-13 08:00:00
34772.53,4967.504285714285,16183.260472000016,2311.8943531428595,0.4632285714285714,19.587185714285713,20.050414285714286,2021-05-20 08:00:00
17067.53,2438.2185714285715,8180.277859999994,1168.611122857142,0.47331428571428547,19.622842857142857,20.096157142857145,2021-05-27 09:00:00
53180.72,7597.245714285715,24947.674728000064,3563.9535325714373,0.469457142857144,19.65704285714286,20.1265,2021-06-03 09:00:00
33803.19,4829.027142857142,15525.233388999963,2217.8904841428516,0.4626857142857134,19.563142857142857,20.02582857142857,2021-06-10 09:00:00
41133.780000000006,5876.254285714286,18746.506756000013,2678.072393714287,0.46571428571428647,19.71132857142857,20.177042857142858,2021-06-17 10:00:00
12888.04,1841.1485714285716,5747.53692900001,821.0767041428584,0.4477285714285725,20.151442857142854,20.599171428571427,2021-06-24 09:00:00
26511.78,3787.3971428571426,11886.909039999984,1698.1298628571408,0.4435285714285711,19.60517142857143,20.0487,2021-07-01 09:00:00
39263.979999999996,5609.14,17906.580276999957,2558.0828967142797,0.4508999999999987,19.629285714285714,20.08018571428571,2021-07-08 08:00:00
41064.7,5866.385714285715,18633.504429000026,2661.9292041428607,0.4523714285714289,19.641985714285713,20.094357142857145,2021-07-15 12:00:00
16986.579999999998,2426.654285714286,7812.664269000007,1116.0948955714296,0.46030000000000015,19.716614285714286,20.176914285714286,2021-07-22 09:00:00
