"average(cantidad)","sum(cantidad)","average(gain)","sum(gain)","average(gap)","average(precio_compra)","average(precio_venta)","day"
2061.85,6185.549999999999,1057.9352349999956,3173.805704999987,0.5130999999999979,19.6032,20.1163,2021-01-01 08:00:00
298.454,1492.27,153.1367473999994,765.683736999997,0.5130999999999979,19.6032,20.1163,2021-01-02 08:00:00
208.112,1040.56,106.78226720000029,533.9113360000015,0.5131000000000014,19.6005,20.1136,2021-01-03 10:00:00
234.10999999999999,1638.77,118.48307099999998,829.3814969999999,0.5061,19.5846,20.0907,2021-01-04 08:00:00
732.6274999999999,5861.0199999999995,372.76087199999796,2982.0869759999837,0.5087999999999973,19.5788,20.0876,2021-01-05 08:00:00
271.6657142857143,1901.66,136.6206877142858,956.3448140000005,0.5029000000000003,19.412000000000003,19.9149,2021-01-06 10:00:00
209.31800000000004,1046.5900000000001,105.47534020000035,527.3767010000017,0.5039000000000016,19.6112,20.1151,2021-01-07 08:00:00
132.725,265.45,67.38448249999998,134.76896499999995,0.5076999999999998,19.6528,20.1605,2021-01-08 13:00:00
345.70875,2765.67,175.4817615,1403.854092,0.5076,19.6613,20.168900000000004,2021-01-09 09:00:00
863.8633333333332,5183.179999999999,438.49702800000006,2630.9821680000005,0.5076,19.667599999999997,20.1752,2021-01-10 09:00:00
417.94,2507.64,207.59079800000026,1245.5447880000015,0.4967000000000006,19.75,20.2467,2021-01-11 08:00:00
634.0742857142857,4438.5199999999995,316.4030685714278,2214.8214799999946,0.4989999999999988,19.593,20.092000000000002,2021-01-12 08:00:00
287.42857142857144,2012.0000000000002,141.73102857142808,992.1171999999966,0.4930999999999983,19.536,20.0291,2021-01-13 08:00:00
294.53000000000003,2061.71,148.9732740000002,1042.8129180000014,0.5058000000000007,19.4417,19.9475,2021-01-14 08:00:00
330.5,1322.0,165.25,661.0,0.5,19.4782,19.9782,2021-01-15 08:00:00
450.2625,3602.1,225.13125,1801.05,0.5,19.4776,19.9776,2021-01-16 10:00:00
2074.335,8297.34,1037.1675,4148.67,0.5,19.48,19.98,2021-01-17 08:00:00
1761.2549999999999,14090.039999999999,892.9562849999961,7143.650279999969,0.5069999999999979,19.4312,19.9382,2021-01-18 08:00:00
273.475,546.95,136.10850750000048,272.21701500000097,0.4977000000000018,19.3691,19.8668,2021-01-19 09:00:00
92.5025,370.01,46.02924399999986,184.11697599999945,0.4975999999999985,19.3088,19.8064,2021-01-20 08:00:00
2196.108,10980.54,1089.7087895999962,5448.54394799998,0.4961999999999982,19.4033,19.8995,2021-01-21 08:00:00
301.06000000000006,2709.5400000000004,150.7106359999996,1356.3957239999963,0.5005999999999986,19.5866,20.0872,2021-01-22 08:00:00
1069.11,4276.44,535.1964659999985,2140.785863999994,0.5005999999999986,19.5939,20.0945,2021-01-23 09:00:00
1726.221666666667,10357.330000000002,864.1465663333371,5184.879398000023,0.5006000000000022,19.5904,20.091000000000005,2021-01-24 09:00:00
342.7914285714286,2399.54,174.9264660000003,1224.485262000002,0.5103000000000009,19.733300000000003,20.243599999999997,2021-01-25 08:00:00
181.1275,724.51,92.41125049999954,369.64500199999816,0.5101999999999975,19.6898,20.2,2021-01-26 08:00:00
296.18,1480.9,153.27315000000053,766.3657500000027,0.5175000000000018,19.8645,20.382,2021-01-27 09:00:00
1129.338888888889,10164.050000000001,573.7041555555546,5163.337399999991,0.5079999999999991,19.8897,20.3977,2021-01-28 08:00:00
124.15599999999999,620.78,64.77218520000034,323.8609260000017,0.5217000000000027,20.0234,20.5451,2021-01-29 08:00:00
751.8675000000001,3007.4700000000003,392.17408799999953,1568.6963519999981,0.5215999999999994,20.0259,20.5475,2021-01-30 09:00:00
422.45,1267.35,220.34992000000125,661.0497600000037,0.521600000000003,20.0144,20.536,2021-01-31 09:00:00
303.80999999999995,2126.6699999999996,158.07234299999965,1106.5064009999976,0.5202999999999989,19.990800000000004,20.5111,2021-02-01 11:00:00
436.67,873.34,218.0293310000007,436.0586620000014,0.49930000000000163,19.8447,20.344,2021-02-02 09:00:00
264.35749999999996,2114.8599999999997,134.87519649999933,1079.0015719999947,0.5101999999999975,19.8623,20.3725,2021-02-03 08:00:00
465.03000000000003,2325.15,237.7233360000011,1188.6166800000055,0.5112000000000023,20.0188,20.53,2021-02-04 11:00:00
1141.6839999999997,5708.419999999999,573.6962100000014,2868.481050000007,0.5025000000000013,19.8283,20.3308,2021-02-05 08:00:00
443.6683333333333,2662.0099999999998,222.94333749999905,1337.6600249999942,0.5024999999999977,19.8396,20.3421,2021-02-06 09:00:00
212.35375,1698.83,106.72899474999949,853.8319579999959,0.5025999999999975,19.841000000000005,20.3436,2021-02-07 09:00:00
1810.0275000000001,7240.110000000001,919.6749727500044,3678.6998910000175,0.5081000000000024,19.8039,20.312,2021-02-08 08:00:00
1909.8166666666666,5729.45,968.4680316666689,2905.4040950000067,0.5071000000000012,19.7717,20.2788,2021-02-09 10:00:00
1770.6814285714283,12394.769999999999,900.3915064285677,6302.740544999974,0.508499999999998,19.7221,20.2306,2021-02-10 08:00:00
609.47875,4875.83,307.1163421250009,2456.9307370000074,0.5039000000000016,19.6467,20.1506,2021-02-11 08:00:00
1661.5985714285712,11631.189999999999,840.9350370000001,5886.545259,0.5061,19.647899999999996,20.154,2021-02-12 09:00:00
554.2937499999999,4434.349999999999,280.528066875,2244.224535,0.5061,19.6431,20.149200000000004,2021-02-13 08:00:00
1853.8011111111114,16684.210000000003,938.2087423333334,8443.878681,0.5061,19.6413,20.1474,2021-02-14 08:00:00
237.49333333333334,1424.96,120.8128586666669,724.8771520000014,0.508700000000001,19.6263,20.135,2021-02-15 08:00:00
505.60999999999996,1516.83,256.6981969999999,770.0945909999997,0.5076999999999998,19.8066,20.3143,2021-02-16 08:00:00
269.66749999999996,1078.6699999999998,136.99108999999976,547.964359999999,0.5079999999999991,19.8798,20.3878,2021-02-17 09:00:00
432.89,865.78,225.79542399999974,451.5908479999995,0.5215999999999994,19.9819,20.5035,2021-02-18 08:00:00
1081.0100000000002,7567.0700000000015,554.9905340000007,3884.933738000005,0.5134000000000007,20.0949,20.608300000000003,2021-02-19 08:00:00
356.7611111111111,3210.85,183.1611544444447,1648.4503900000022,0.5134000000000007,20.1036,20.617,2021-02-20 09:00:00
330.105,660.21,169.47590700000023,338.95181400000047,0.5134000000000007,20.1085,20.6219,2021-02-21 10:00:00
795.0975,6360.78,422.67383099999796,3381.3906479999837,0.5315999999999974,20.3014,20.833,2021-02-22 10:00:00
420.6825,1682.73,178.91626725,715.665069,0.4253,20.2968,20.7221,2021-02-23 08:00:00
1311.585,13115.85,555.8497229999999,5558.497229999999,0.42379999999999995,20.185,20.6088,2021-02-24 09:00:00
562.65,1687.95,251.05442999999858,753.1632899999958,0.4461999999999975,20.4905,20.9367,2021-02-25 12:00:00
1095.8916666666667,6575.35,482.6306900000004,2895.7841400000025,0.44040000000000035,20.5958,21.036200000000004,2021-02-26 09:00:00
915.9977777777777,8243.98,448.19771266666675,4033.7794140000005,0.48930000000000007,20.5883,21.0776,2021-02-27 08:00:00
2359.63,16517.41,1222.2883400000014,8556.01838000001,0.5180000000000007,20.567000000000004,21.085000000000004,2021-02-28 08:00:00
282.1842857142857,1975.29,147.58238142857135,1033.0766699999995,0.5229999999999997,20.3578,20.880799999999997,2021-03-01 09:00:00
183.864,919.32,95.57250720000002,477.8625360000001,0.5198,20.3147,20.8345,2021-03-02 08:00:00
604.90625,4839.25,318.3016687499996,2546.4133499999966,0.5261999999999993,20.526,21.0522,2021-03-03 09:00:00
127.26333333333334,381.79,67.16958733333323,201.50876199999968,0.5277999999999992,20.6452,21.173,2021-03-04 09:00:00
116.98333333333335,350.95000000000005,64.6449899999998,193.9349699999994,0.5525999999999982,20.7435,21.2961,2021-03-05 11:00:00
1296.2566666666667,7777.54,716.4410596666686,4298.646358000012,0.5527000000000015,20.839,21.3917,2021-03-06 08:00:00
443.546,2217.73,245.14787419999917,1225.7393709999958,0.552699999999998,20.8394,21.3921,2021-03-07 11:00:00
198.60166666666666,1191.61,103.53104883333334,621.1862930000001,0.5213000000000001,21.0408,21.5621,2021-03-08 08:00:00
118.72500000000001,237.45000000000002,61.26209999999979,122.52419999999958,0.5159999999999982,20.8958,21.4118,2021-03-09 09:00:00
2767.8500000000004,5535.700000000001,1430.7016649999994,2861.4033299999987,0.5168999999999997,20.6514,21.1683,2021-03-10 10:00:00
552.836,2764.18,284.2682711999994,1421.341355999997,0.5141999999999989,20.4145,20.9287,2021-03-11 08:00:00
28.43,56.86,14.667037000000057,29.334074000000115,0.515900000000002,20.4303,20.9462,2021-03-12 11:00:00
854.7425,6837.94,420.2768872500013,3362.2150980000106,0.4917000000000016,20.4182,20.909899999999997,2021-03-13 08:00:00
682.67,2730.68,335.6688389999986,1342.6753559999945,0.491699999999998,20.4215,20.9132,2021-03-14 08:00:00
142.26333333333332,426.78999999999996,69.96510733333302,209.89532199999906,0.4917999999999978,20.4097,20.9015,2021-03-15 09:00:00
340.2583333333333,2041.55,170.23124416666764,1021.3874650000058,0.5003000000000029,20.2903,20.7906,2021-03-16 08:00:00
